Name ,DOB,Birth Time
Michael Bennet (D),11/28/1964,NA
Joe Biden (D),11/20/1942,8:40
Michael Bloomberg (D),2/14/1942,15:40
Cory Booker (D),4/27/1969,1:10
Pete Buttigieg (D),1/19/1982,21:00
Julián Castro (D),9/16/1974,2:40
John Delaney (D),4/29/1963,2:40
Tulsi Gabbard (D),4/12/1981,NA
Amy Klobuchar (D),5/25/1960,NA
Deval Patrick (D),7/31/1956,4:00
Bernie Sanders (D),9/8/1941,12:27
Tom Steyer (D),5/27/1957,NA
Elizabeth Warren (D),6/22/1949,NA
Marianne Williamson (D),7/7/1952,3:53
Andrew Yang (D),1/13/1975,6:20
,,
,,
Donald Trump (R),6/14/1946,10:46
Bill Weld ®,8/31/1945,13:47:00 PM
Joe Walsh (R),12/27/1961,NA
