Name ,DOB,Day,Month,Year,Birth Time,Party
Michael Bennet ,11/28/1964,28,11,1964,,Democrat
Joe Biden,11/20/1942,20,11,1942,8:40 AM,Democrat
Michael Bloomberg ,2/14/1942,14,2,1942,3:40 PM,Democrat
Cory Booker ,4/27/1969,27,4,1969,1:10 AM,Democrat
Pete Buttigieg ,1/19/1982,19,1,1982,9:00 PM,Democrat
John Delaney ,4/29/1963,29,4,1963,2:40 AM,Democrat
Tulsi Gabbard ,4/12/1981,12,4,1981,,Democrat
Amy Klobuchar,5/25/1960,25,5,1960,,Democrat
Deval Patrick,7/31/1956,31,7,1956,4:00 AM,Democrat
Bernie Sanders,9/8/1941,8,9,1941,12:27 PM,Democrat
Tom Steyer,5/27/1957,27,5,1957,,Democrat
Elizabeth Warren,6/22/1949,22,6,1949,,Democrat
Marianne Williamson,7/7/1952,7,7,1952,3:53 AM,Democrat
Andrew Yang,1/13/1975,13,1,1975,6:20 AM,Democrat
Dold Trump,6/14/1946,14,6,1946,10:46 AM,Republican
Bill Weld ,8/31/1945,31,8,1945,13:47:00 PM,Republican
Joe Walsh ,12/27/1961,17,12,1961,,Republican
