,Presidency ,President ,Day,Month,Sun Sign,Year,Chinese Zodiac,Life Path Number
0,1,George Washington,22,2,Pisces,1732,Rat,1
1,2,John Adams,30,10,Scorpio,1735,Hare,2
2,3,Thomas Jefferson,13,4,Aries,1743,Pig,5
3,4,James Madison,16,3,Pisces,1751,Sheep,6
4,5,James Monroe,28,4,Taurus,1758,Tiger,8
5,6,John Quincy Adams,11,7,Cancer,1767,Pig,3
6,7,Andrew Jackson,15,3,Pisces,1767,Pig,3
7,8,Martin Van Buren,5,12,Sagittarius,1782,Tiger,8
8,9,William Henry Harrison,9,2,Aquarius,1773,Snake,11
9,10,John Tyler,29,3,Aries,1790,Dog,4
10,11,James K. Polk,2,11,Scorpio,1795,Hare,8
11,12,Zachary Taylor,24,11,Sagittarius,1784,Dragon,1
12,13,Millard Fillmore,7,1,Capricorn,1800,Monkey,8
13,14,Franklin Pierce,23,11,Sagittarius,1804,Rat,2
14,15,James Buchanan,23,4,Taurus,1791,Pig,9
15,16,Abraham Lincoln,12,2,Aquarius,1809,Snake,5
16,17,Andrew Johnson,29,12,Capricorn,1808,Dragon,4
17,18,Ulysses S. Grant,27,4,Taurus,1822,Horse,8
18,19,Rutherford B. Hayes,4,10,Libra,1822,Horse,9
19,20,James A. Garfield,19,11,Scorpio,1831,Hare,7
20,21,Chester A. Arthur,5,10,Libra,1829,Ox,8
21,22,Grover Cleveland,18,3,Pisces,1837,Rooster,4
22,23,Benjamin Harrison,20,8,Leo,1833,Snake,7
23,24,Grover Cleveland,18,3,Pisces,1837,Rooster,4
24,25,William McKinley,29,1,Aquarius,1843,Hare,1
25,26,Theodore Roosevelt,27,10,Scorpio,1858,Horse,5
26,27,William Howard Taft,15,9,Virgo,1857,Snake,9
27,28,Woodrow Wilson,28,12,Capricorn,1856,Dragon,6
28,29,Warren G. Harding,2,11,Scorpio,1865,Ox,6
29,30,Calvin Coolidge,4,7,Cancer,1872,Monkey,11
30,31,Herbert Hoover,10,8,Leo,1874,Dog,11
31,32,Franklin D. Roosevelt,30,1,Aquarius,1882,Horse,5
32,33,Harry S. Truman,8,5,Taurus,1884,Monkey,7
33,34,Dwight D. Eisenhower,14,10,Libra,1890,Tiger,6
34,35,John Kennedy,29,5,Gemini,1917,Snake,7
35,36,Lyndon B. Johnson,27,8,Virgo,1908,Monkey,8
36,37,Richard M. Nixon,9,1,Capricorn,1913,Ox,6
37,38,Gerald R. Ford,14,7,Cancer,1913,Ox,8
38,39,Jimmy Carter,1,10,Libra,1924,Rat,9
39,40,Ronald Reagan,6,2,Aquarius,1911,Pig,2
40,41,George H. W. Bush,12,6,Gemini,1924,Rat,7
41,42,William J. Clinton,19,8,Leo,1946,Dog,11
42,43,George W. Bush,6,6,Gemini,1946,Dog,6
43,44,Barack Hussein Obama,4,8,Leo,1961,Ox,11
44,45,Donald Trump,14,6,Gemini,1946,Dog,4
